NATIONAL_ID,FIRST_NAME, LAST_NAME,STUDENT_ID,ADDRESS,EMAIL,PHONE,PROGRAM,PROGRAM_BM,DATE_CONVO_LANG1,DATE_CONVO_LANG2,RESULT,BATCH,STATUS,NATIONALITY,RELIGION,GENDER,RACE,ENTRANCE_SESSION,SERIAL_NUMBER,STATUS_DETAIL
C001,Test Recipient Name 15000,Test Recipient Name 15000,39815,P.O.BOX 160 JALAN MONTEL SIMPANG 4 B.N.OSABAK BERNAM,15000icertrecipient@yopmail.com,123890873,MASTER OF EDUCATION,IJAZAH SARJANA MUDA BIOTEKNOLOGI PERTANIAN DENGAN KEPUJIAN,02/11/2019,02/11/2019,3.38,2019,0,WARGANEGARA,ISLAM,LELAKI,MELAYU,JUL-2015,19,Robe return date is null
C002,Test Recipient Name 15001,Test Recipient Name 15001,39723,"NO 52A, KAMPUNG SIMATJOHOLKUALA PILAH",15001icertrecipient@yopmail.com,179367510,MASTER OF EDUCATION,IJAZAH SARJANA MUDA BIOTEKNOLOGI PERTANIAN DENGAN KEPUJIAN,02/11/2019,02/11/2019,3.29,2019,1,WARGANEGARA,ISLAM,LELAKI,MELAYU,JUL-2015,20,All criteria passed
C003,Test Recipient Name 15002,Test Recipient Name 15002,40336,"NO. 30, TAMAN PERMAI SEJAHTERAKUALA LIPIS",15002icertrecipient@yopmail.com,145221045,MASTER OF EDUCATION,IJAZAH SARJANA MUDA BIOTEKNOLOGI PERTANIAN DENGAN KEPUJIAN,02/11/2019,02/11/2019,3.57,2019,1,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,21,All criteria passed
C004,Test Recipient Name 15003,Test Recipient Name 15003,39650,LADANG MATANG JEMENTAHSEGAMAT,15003icertrecipient@yopmail.com,127165741,MASTER OF EDUCATION,IJAZAH SARJANA MUDA BIOTEKNOLOGI PERTANIAN DENGAN KEPUJIAN,02/11/2019,02/11/2019,3.5,2019,1,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,22,All criteria passed
C005,Test Recipient Name 15004,Test Recipient Name 15004,40112,2683 LOT A JLN KG SG KERAWAITELUK INTAN,15004icertrecipient@yopmail.com,194012057,MASTER OF EDUCATION,IJAZAH SARJANA MUDA BIOTEKNOLOGI PERTANIAN DENGAN KEPUJIAN,02/11/2019,02/11/2019,3.45,2019,1,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,23,All criteria passed
C006,Test Recipient Name 15005,Test Recipient Name 15005,41219,"1144-A, JALAN DATO' LUNDANG, KG CHERANGKOTA BHARU",15005icertrecipient@yopmail.com,145341714,MASTER OF EDUCATION,IJAZAH SARJANA MUDA BIOTEKNOLOGI PERTANIAN DENGAN KEPUJIAN,02/11/2019,02/11/2019,3.64,2019,1,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,24,All criteria passed
C007,Test Recipient Name 15006,Test Recipient Name 15006,39782,"PLB 432, KAMPUNG PENADAH,PADANG POLOPEKAN",15006icertrecipient@yopmail.com,148369934,MASTER OF EDUCATION,IJAZAH SARJANA MUDA BIOTEKNOLOGI PERTANIAN DENGAN KEPUJIAN,02/11/2019,02/11/2019,3.63,2019,0,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,25,Robe return date is null
C008,Test Recipient Name 15007,Test Recipient Name 15007,40503,"NO 9, JLN BAYU 5, TAMAN DESIRAN,45000 KUALA SELANGOR, SELANGORKUALA SELANGOR",15007icertrecipient@yopmail.com,176311749,MASTER OF EDUCATION,IJAZAH SARJANA MUDA BIOTEKNOLOGI PERTANIAN DENGAN KEPUJIAN,02/11/2019,02/11/2019,3.63,2019,1,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,26,All criteria passed
C009,Test Recipient Name 15008,Test Recipient Name 15008,40322,"1884-6, BUKIT PULAU, BUKIT BARUMELAKA",15008icertrecipient@yopmail.com,196295132,MASTER OF EDUCATION,IJAZAH SARJANA MUDA BIOTEKNOLOGI PERTANIAN DENGAN KEPUJIAN,02/11/2019,02/11/2019,3.28,2019,1,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,27,All criteria passed
C010,Test Recipient Name 15009,Test Recipient Name 15009,41179,"NO 51. KAMPONG HAJI MOHD AWAM,JALAN GERTAK TINGGI ,SABAK BERNAM",15009icertrecipient@yopmail.com,199033565,MASTER OF EDUCATION,IJAZAH SARJANA MUDA BIOTEKNOLOGI PERTANIAN DENGAN KEPUJIAN (DENGAN CEMERLANG),02/11/2019,02/11/2019,3.72,2019,0,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,1,Robe return date is null
C011,Test Recipient Name 15010,Test Recipient Name 15010,41256,"NO. 102, KAMPUNG TERUS, PANCHORNO. 102, KG TERUS, PNCHORMUAR",15010icertrecipient@yopmail.com,196845933,MASTER OF EDUCATION,IJAZAH SARJANA MUDA BIOTEKNOLOGI PERTANIAN DENGAN KEPUJIAN (DENGAN CEMERLANG),02/11/2019,02/11/2019,3.78,2019,1,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,2,All criteria passed
C012,Test Recipient Name 15011,Test Recipient Name 15011,39726,LOT 273 KAMPUNG TELOKBACHOK,15011icertrecipient@yopmail.com,197319916,MASTER OF EDUCATION,IJAZAH SARJANA MUDA BIOTEKNOLOGI PERTANIAN DENGAN KEPUJIAN (DENGAN CEMERLANG),02/11/2019,02/11/2019,3.71,2019,0,WARGANEGARA,ISLAM,LELAKI,MELAYU,JUL-2015,3,Robe return date is null
C013,Test Recipient Name 15012,Test Recipient Name 15012,40937,BLOK 54-11-08 FLAT SRI SABAH 3AJALAN IKAN AYU CHERASKUALA LUMPUR,15012icertrecipient@yopmail.com,176656990,MASTER OF EDUCATION,IJAZAH SARJANA MUDA BIOTEKNOLOGI PERTANIAN DENGAN KEPUJIAN (DENGAN CEMERLANG),02/11/2019,02/11/2019,3.71,2019,0,WARGANEGARA,ISLAM,LELAKI,MELAYU,JUL-2015,4,Robe return date is null
C014,Test Recipient Name 15013,Test Recipient Name 15013,41343,"NO 11,JALAN MELOR 1CDESA MELORSERENDAH",15013icertrecipient@yopmail.com,192563906,MASTER OF EDUCATION,IJAZAH SARJANA MUDA BIOTEKNOLOGI PERTANIAN DENGAN KEPUJIAN (DENGAN CEMERLANG),02/11/2019,02/11/2019,3.79,2019,0,WARGANEGARA,ISLAM,LELAKI,MELAYU,JUL-2015,5,Robe return date is null
C015,Test Recipient Name 15014,Test Recipient Name 15014,40333,56-A KAMPUNG SURA JETTYDUNGUN,15014icertrecipient@yopmail.com,199953080,MASTER OF EDUCATION,IJAZAH SARJANA MUDA BIOTEKNOLOGI PERTANIAN DENGAN KEPUJIAN (DENGAN CEMERLANG),02/11/2019,02/11/2019,3.78,2019,0,WARGANEGARA,ISLAM,LELAKI,MELAYU,JUL-2015,6,Outstanding debt: RM 5.00
C016,Test Recipient Name 15015,Test Recipient Name 15015,40618,"NO.2, TAMAN LKNPPERINGKAT 3JERANTUT",15015icertrecipient@yopmail.com,145240212,MASTER OF EDUCATION,IJAZAH SARJANA MUDA BIOTEKNOLOGI PERTANIAN DENGAN KEPUJIAN (DENGAN CEMERLANG),02/11/2019,02/11/2019,3.82,2019,0,WARGANEGARA,ISLAM,LELAKI,MELAYU,JUL-2015,7,Robe return date is null
C017,Test Recipient Name 15016,Test Recipient Name 15016,40559,5/335 KAMPUNG JAMBU BESERAHKUANTAN,15016icertrecipient@yopmail.com,1119979622,MASTER OF EDUCATION,IJAZAH SARJANA MUDA BIOTEKNOLOGI PERTANIAN DENGAN KEPUJIAN (DENGAN CEMERLANG),02/11/2019,02/11/2019,3.72,2019,1,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,8,All criteria passed
C018,Test Recipient Name 15017,Test Recipient Name 15017,40983,LOT 322 KAMPUNG KUBANG PANJANGPASIR MAS,15017icertrecipient@yopmail.com,148110219,MASTER OF EDUCATION,IJAZAH SARJANA MUDA BIOTEKNOLOGI PERTANIAN DENGAN KEPUJIAN (DENGAN CEMERLANG),02/11/2019,02/11/2019,3.69,2019,1,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,9,All criteria passed
C019,Test Recipient Name 15018,Test Recipient Name 15018,40080,"478, LRG JUJUR KIRI 2, TMN JUJUR70400 SEREMBANSEREMBAN",15018icertrecipient@yopmail.com,133262301,MASTER OF EDUCATION,IJAZAH SARJANA MUDA BIOTEKNOLOGI PERTANIAN DENGAN KEPUJIAN (DENGAN CEMERLANG),02/11/2019,02/11/2019,3.74,2019,1,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,10,All criteria passed
C020,Test Recipient Name 15019,Test Recipient Name 15019,40434,"N0.38,JALAN DIAN 19,TAMAN MUNSYI IBRAHIMJOHOR BAHRU",15019icertrecipient@yopmail.com,127540866,MASTER OF EDUCATION,IJAZAH SARJANA MUDA BIOTEKNOLOGI PERTANIAN DENGAN KEPUJIAN (DENGAN CEMERLANG),02/11/2019,02/11/2019,3.79,2019,0,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,11,Robe return date is null
C021,Test Recipient Name 15020,Test Recipient Name 15020,39587,5 LORONG SENTOSA 3TAMAN SENTOSABUKIT MERTAJAM,15020icertrecipient@yopmail.com,174410408,MASTER OF EDUCATION,IJAZAH SARJANA MUDA BIOTEKNOLOGI PERTANIAN DENGAN KEPUJIAN (DENGAN CEMERLANG),02/11/2019,02/11/2019,3.92,2019,1,WARGANEGARA,BUDDHA,PEREMPUAN,CINA,JUL-2015,12,All criteria passed
C022,Test Recipient Name 15021,Test Recipient Name 15021,41382,"456,BLOK 2,PKT 2,FELDA NERAM 2,BANDAR CENEH BARUKEMAMAN",15021icertrecipient@yopmail.com,1129296768,MASTER OF EDUCATION,IJAZAH SARJANA MUDA BIOTEKNOLOGI PERTANIAN DENGAN KEPUJIAN (DENGAN CEMERLANG),02/11/2019,02/11/2019,3.72,2019,1,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,13,All criteria passed
C023,Test Recipient Name 15022,Test Recipient Name 15022,40568,"DU 171 C JALAN  PADANG JAYA 2,KG, JAYA GADINGKUANTAN",15022icertrecipient@yopmail.com,148079706,MASTER OF EDUCATION,IJAZAH SARJANA MUDA BIOTEKNOLOGI PERTANIAN DENGAN KEPUJIAN (DENGAN CEMERLANG),02/11/2019,02/11/2019,3.71,2019,1,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,14,All criteria passed
C024,Test Recipient Name 15023,Test Recipient Name 15023,40383,"LOT 1800, KG TEMBESU LIMBAT,16150 KOTA BHARU, KELANTAN.KOTA BHARU",15023icertrecipient@yopmail.com,102682413,MASTER OF EDUCATION,IJAZAH SARJANA MUDA BIOTEKNOLOGI PERTANIAN DENGAN KEPUJIAN (DENGAN CEMERLANG),02/11/2019,02/11/2019,3.84,2019,1,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,15,All criteria passed
C025,Test Recipient Name 15024,Test Recipient Name 15024,40238,"NO 75,LORONG 2, TAMAN SERI JENARIS,TIKAM BATU,SUNGAI PETANI",15024icertrecipient@yopmail.com,195027423,MASTER OF EDUCATION,IJAZAH SARJANA MUDA BIOTEKNOLOGI PERTANIAN DENGAN KEPUJIAN,02/11/2019,02/11/2019,3.5,2019,1,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,16,All criteria passed
C026,Test Recipient Name 15025,Test Recipient Name 15025,40962,NO. 426FELDA TROLAK UTARASUNGKAI,15025icertrecipient@yopmail.com,142992704,MASTER OF EDUCATION,IJAZAH SARJANA MUDA BIOTEKNOLOGI PERTANIAN DENGAN KEPUJIAN,02/11/2019,02/11/2019,3.38,2019,1,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,17,All criteria passed
C027,Test Recipient Name 15026,Test Recipient Name 15026,40213,"1289, SIMPANG TIGANIBONG TEBAL",15026icertrecipient@yopmail.com,124327514,MASTER OF EDUCATION,IJAZAH SARJANA MUDA BIOTEKNOLOGI PERTANIAN DENGAN KEPUJIAN,02/11/2019,02/11/2019,3.66,2019,1,WARGANEGARA,ISLAM,LELAKI,MELAYU,JUL-2015,18,All criteria passed
C028,Test Recipient Name 15027,Test Recipient Name 15027,43831,"1277K PERMAI 3, KG BUKIT21080, K.TERENGGANUKUALA TERENGGANU",15027icertrecipient@yopmail.com,199415916,MASTER OF EDUCATION,IJAZAH SARJANA MUDA PENTADBIRAN PERNIAGAAN (KEWANGAN ISLAM) DENGAN KEPUJIAN,02/11/2019,02/11/2019,3.63,2019,0,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2016,233,Robe return date is null
