id,issuedOn,name,issuer.name,issuer.did,issuer.url,issuer.email,issuer.identityProof.type,issuer.identityProof.location,issuer.additionalProp,recipient.name,recipient.did,recipient.email,recipient.phone,recipient.additionalProp,recipient.studentId
SERIAL-2018-08-01-112,2018-08-01T00:00:00+08:00,Master of Blockchain,Blockchain Academy,DID:SG-UEN:U18274928E,https://blockchainacademy.com,blockchainacademy@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000000,John Watson,DID:SG-NRIC:S56999999A,1recipient@getnada.com,+65 88888888,0x0000000000000000000000000000000000000000000000000000000000000000,1232
SERIAL-2018-08-01-111,2018-08-01T00:00:00+08:01,Master of Computer Science,Computer Science Academy,DID:SG-UEN:U12345678E,https://computerscience.com,cs@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000001,Frankie Black,DID:SG-NRIC:S56999999A,2recipient@getnada.com,+65 88888889,0x0000000000000000000000000000000000000000000000000000000000000001,1233
SERIAL-2018-08-01-110,2018-08-01T00:00:00+08:02,Bachelor of Agriculture,Agriculture Academy,DID:SG-UEN:U19896558E,https://agricultureacademy.com,agriculture@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000002,Archie Davis,DID:SG-NRIC:D99995544A,3recipient@getnada.com,+65 88888890,0x0000000000000000000000000000000000000000000000000000000000000002,1234
SERIAL-2018-08-01-109,2018-08-01T00:00:00+08:03,Bachelor of Commerce,Commerce Academy,DID:SG-UEN:U63541235E,https://commerceacademy.com,commerce@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000003,Billy Hart,DID:SG-NRIC:S74858589A,4recipient@getnada.com,+65 88888891,0x0000000000000000000000000000000000000000000000000000000000000003,1235
SERIAL-2018-08-01-108,2018-08-01T00:00:00+08:04,Master of Science,Science Academy,DID:SG-UEN:U87485962E,https://scienceeacademy.com,science@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000004,Blake Mason,DID:SG-NRIC:D52635215A,5recipient@getnada.com,+65 88888892,0x0000000000000000000000000000000000000000000000000000000000000004,1236
SERIAL-2018-08-01-107,2018-08-01T00:00:00+08:05,Master of Finance,Finance Academy,DID:SG-UEN:U36985422E,https://financeeacademy.com,finance@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000005,Eden Davis,DID:SG-NRIC:E12398285A,6recipient@getnada.com,+65 88888893,0x0000000000000000000000000000000000000000000000000000000000000005,1237
SERIAL-2018-08-01-106,2018-08-01T00:00:00+08:06,Master of IT,IT Academy,DID:SG-UEN:U56987456E,https://itacademy.com,it@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000006,Malachi Newton,DID:SG-NRIC:F45525251D,7recipient@getnada.com,+65 88888894,0x0000000000000000000000000000000000000000000000000000000000000006,1238
SERIAL-2018-08-01-105,2018-01-01T00:00:00+08:07,Master of Angular,Angular Academy,DID:SG-UEN:A89685241B,https://angularacademy.com,angular@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000007,Kylen Mcknight,DID:SG-NRIC:S98888888A,8recipient@getnada.com,+65 88888895,0x0000000000000000000000000000000000000000000000000000000000000007,1239
SERIAL-2018-08-01-104,2018-08-01T00:00:00+08:08,Bachelor of Civil,Civil Academy,DID:SG-UEN:C47847878D,https://civilacademy.com,civil@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000008,Jonathon Nguyen,DID:SG-NRIC:S77777777A,9recipient@getnada.com,+65 88888896,0x0000000000000000000000000000000000000000000000000000000000000008,1240
SERIAL-2018-08-01-103,2018-10-01T00:00:00+08:09,Bachelor of Mechanical,Mechanical Academy,DID:SG-UEN:E41526352F,https://mechanicalacademy.com,mechanical@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000009,Aiden Scott,DID:SG-NRIC:S96857478A,10recipient@getnada.com,+65 88888897,0x0000000000000000000000000000000000000000000000000000000000000009,1241
